id,name,year_founded,country,industry,founder_count,founder_experience,previous_startups,product_stage,product_uniqueness,competitors_count,revenue,burn_rate,total_investment,active_users,user_growth_rate,retention,user_reviews,nps,innovation_score,financial_stability,risk_score,cash_reserves,market_size,market_growth_rate,success
629,"Morrison, Hebert and Rogers",2023,China,EdTech,4,0,0,MVP,5,7,9686907.77,927728.06,12380724.59,479194.0,12.7,36.37,31,-44,6,8.0,9,11802539.63,94686258.39,47.6,Fail
630,Hays-Daniels,2021,France,FinTech,5,19,1,Idea,0,6,354025.59,643541.39,12332283.86,97928.3,38.76,0.33,86,21,9,3.0,5,11917558.43,417770705.21,15.25,Fail
631,Small-Anderson,2018,Israel,Blockchain,2,4,0,Growth,3,8,3292869.74,1862896.35,16996755.14,568765.0,83.37,84.53,24,44,3,3.0,1,13489941.34,443495099.09,4.12,Success
632,"Mcdonald, Lee and Rodriguez",2013,China,EdTech,4,5,0,Scale,3,1,3691615.44,1000896.89,18209370.77,818313.0,87.03,83.53,42,-3,4,0.0,7,16743719.62,740219963.82,33.59,Fail
633,Simon Ltd,2018,China,FinTech,1,10,1,Maturity,9,8,917196.15,1460707.14,3604833.29,248637.0,64.28,66.18,27,53,0,5.0,7,0.0,62918509.73,13.15,Success
634,Higgins-Smith,2005,Canada,AI,4,7,1,Idea,7,3,624963.52,827480.06,6281004.48,98140.8,25.68,89.89,65,24,4,5.0,3,4454880.21,617790764.16,32.09,Unclear
635,Gibbs-Bradley,2023,India,FoodTech,2,6,1,Scale,7,10,2386242.44,405097.16,13006114.02,647110.0,24.03,27.29,66,37,10,5.0,1,12399861.22,517746845.8,2.8,Fail
636,Thompson Ltd,2017,Canada,IoT,4,3,1,Scale,9,2,8033127.56,1309770.23,11144424.67,965033.0,27.79,22.06,94,-62,7,6.0,8,9936474.33,282164578.49,28.11,Fail
637,Wilcox-Robertson,2017,India,Blockchain,5,5,1,Growth,5,6,3941561.8,1329685.3,13046523.39,189483.0,50.0,6.85,96,-92,5,8.0,8,9727779.06,746970211.01,11.86,Success
638,Morales Inc,2008,UK,CleanTech,5,15,1,Growth,7,4,4585584.82,920367.7,8660291.99,391085.0,97.64,59.2,32,-76,1,9.0,1,8440683.08,567326544.69,3.76,Fail
639,Holden Group,2005,Israel,FoodTech,2,19,0,Scale,8,4,6464220.54,539899.27,8248780.27,528725.0,10.92,49.64,46,47,1,9.0,9,7145766.23,525130206.38,2.78,Success
640,Boyle-Smith,2021,USA,FoodTech,3,14,0,Idea,4,1,761871.13,1663626.98,2353078.11,59374.4,50.05,81.04,34,-86,10,4.5,3,1789092.19,952827720.85,47.88,Success
641,Young-Molina,2012,Singapore,E-Commerce,5,13,0,Scale,0,5,2311153.05,550636.25,12472964.8,522440.0,68.22,48.13,99,12,8,8.0,0,11592833.75,816443331.37,13.27,Unclear
642,Turner-Sharp,2006,USA,AI,1,11,1,MVP,0,5,9662943.3,1318047.97,3515713.05,670073.0,24.57,20.32,63,-10,0,2.0,5,0.0,214365041.31,29.09,Success
643,Green LLC,2012,China,SaaS,2,11,1,Maturity,1,3,6223215.46,767971.25,13420431.91,328807.0,96.91,80.96,89,38,1,1.0,10,12871945.22,394088495.92,24.23,Success
644,"Young, Contreras and Marshall",2011,France,EdTech,4,15,1,MVP,1,4,56386.24,944961.36,19341444.86,317897.0,34.9,45.55,11,43,7,0.0,10,19118820.86,666261309.75,18.15,Fail
645,Sullivan PLC,2006,UK,FoodTech,4,14,0,Maturity,4,6,4156222.1,422805.32,5128256.55,249827.0,93.24,95.58,52,49,5,1.0,10,4697630.66,554589453.03,27.13,Fail
646,"Carrillo, Vaughn and Fowler",2007,USA,FinTech,1,12,1,MVP,6,7,4368178.21,1298959.89,2843046.11,861150.0,59.74,53.45,43,89,2,0.5,0,979334.73,436394144.79,27.98,Success
647,Richardson-Walker,2022,USA,AI,5,10,0,MVP,6,5,8091649.76,451651.67,483504.91,347550.0,0.41,11.67,45,51,2,0.0,6,0.0,981520823.66,41.86,Unclear
648,Mendoza Group,2016,France,EdTech,2,16,1,Growth,3,4,3051397.74,971428.09,7576543.73,588676.0,31.11,85.1,10,63,10,7.0,8,7489892.82,174270417.47,19.31,Success
649,"Zhang, Brooks and Miles",2005,France,Blockchain,1,20,1,Idea,3,2,331226.52,656918.79,4292221.18,56178.3,2.15,87.84,69,45,8,2.0,8,4034282.92,345162274.92,17.64,Success
650,Todd-Pham,2016,USA,FinTech,5,14,1,Growth,10,6,704940.93,1927211.47,9837188.46,959889.0,38.15,44.54,88,47,1,9.0,10,7462474.2,402279579.93,33.96,Fail
651,Gill Ltd,2009,Australia,Blockchain,2,13,0,MVP,9,7,2835460.25,1964442.19,10486120.56,136581.0,93.25,2.6,45,-93,9,9.0,1,9926129.36,77674478.08,18.59,Fail
652,"Marks, Miller and Griffin",2021,Germany,AI,4,9,1,Scale,2,2,7169617.01,1506982.61,6986554.89,202089.0,77.9,2.97,58,-86,4,7.0,10,2665023.5,473267340.67,25.55,Fail
653,"Cox, Stark and Rodriguez",2020,France,SaaS,2,11,0,MVP,10,4,6347569.2,1967834.99,14998124.45,157105.0,62.01,35.11,58,-24,6,5.0,7,11981499.51,529344538.04,8.66,Fail
654,"Leach, Harris and Herrera",2019,Germany,CleanTech,3,15,1,Scale,1,10,813940.88,227101.29,18096133.41,167294.0,53.86,71.62,33,24,5,0.0,10,17839327.15,271950530.63,14.19,Success
655,Murphy PLC,2019,Israel,IoT,2,14,1,Idea,2,1,114693.89,1984649.31,4230461.96,83663.5,37.26,33.11,98,-23,0,3.0,2,0.0,962250709.67,10.06,Unclear
656,Wilson-Harris,2009,UK,SaaS,3,9,1,Maturity,7,9,3769259.64,207111.83,16725955.47,220266.0,21.15,0.77,20,-54,9,2.0,4,16324513.83,539976655.43,42.03,Fail
657,"Burns, Nolan and Griffin",2018,Australia,AI,2,3,1,Maturity,0,9,7437577.62,830903.55,2623758.0,816919.0,6.25,84.86,81,18,2,8.0,3,1337960.78,585959120.39,39.9,Unclear
658,Chavez PLC,2006,France,FoodTech,3,8,0,MVP,3,3,8329182.78,477895.14,4574043.69,194500.0,19.01,96.87,71,51,4,8.0,5,4228332.63,894882336.47,19.61,Success
659,Bryant-Brown,2015,Israel,E-Commerce,4,20,1,MVP,6,3,146240.43,1907691.93,11228313.72,641563.0,35.15,34.64,97,-54,2,3.0,10,9779925.51,281499543.17,22.01,Fail
660,Chambers-Parker,2023,India,CleanTech,5,19,0,Maturity,4,7,3290105.77,1271579.87,6131629.78,675001.0,52.0,7.31,51,-83,2,1.0,6,4749674.22,637850171.34,20.53,Fail
661,Foster Inc,2011,China,AI,3,8,1,MVP,1,2,4242618.64,1194255.07,834215.81,755906.0,20.44,29.14,47,59,4,4.5,8,0.0,454748686.15,9.64,Unclear
662,"Robinson, Jones and Henderson",2010,Germany,FinTech,3,20,1,MVP,0,4,9111328.11,1994877.01,5897442.83,195729.0,97.43,79.9,77,69,7,8.0,9,1013954.42,377737967.41,39.17,Unclear
663,"Brown, Mcknight and Michael",2006,Australia,E-Commerce,4,19,1,Idea,5,10,501406.56,1224852.21,18097403.77,486.70000000000005,7.69,54.23,18,-5,9,4.0,4,17391614.82,383481614.18,41.45,Success
664,Andersen Group,2010,Australia,FinTech,3,10,0,MVP,4,4,2697007.65,1292319.76,3484463.24,598887.0,9.48,38.4,83,64,7,5.0,1,315391.78,33791669.65,30.5,Unclear
665,Mitchell and Sons,2022,UK,EdTech,1,10,1,Scale,2,1,3900470.65,89548.6,15275017.6,580272.0,68.26,33.42,3,-68,7,7.0,3,15186112.43,822911188.58,37.11,Success
666,Cannon Ltd,2006,Germany,CleanTech,4,6,0,Idea,10,8,436434.44,1718101.2,14445640.12,21311.9,75.51,11.54,31,28,5,8.0,1,13413256.77,589791391.4,32.63,Success
667,"Stuart, Brooks and Vance",2022,India,FinTech,1,20,0,Growth,10,3,6699958.74,1940178.86,2124496.32,942185.0,97.25,33.95,89,-9,8,5.0,0,990757.23,933336615.13,5.13,Unclear
668,Kane-Knox,2019,UK,FinTech,4,9,1,MVP,10,8,410877.83,1920622.3,6588859.29,47455.0,53.04,47.01,27,54,4,0.0,1,3918634.59,847010163.54,27.55,Success
669,Miller-Brandt,2023,Australia,EdTech,3,3,0,MVP,8,8,3894516.63,442211.22,3787125.78,492926.0,16.59,67.31,75,-84,9,10.0,10,2769424.61,985040770.37,17.35,Success
670,"Anderson, Dalton and Wilson",2006,USA,CleanTech,1,4,1,Scale,2,1,6465546.37,451830.69,463003.62,323282.0,93.79,26.21,57,-55,6,2.0,6,0.0,43511487.12,11.01,Unclear
671,"Long, Anderson and Irwin",2024,India,IoT,3,4,0,Idea,1,8,283322.32,732094.25,3460813.5,64239.600000000006,98.02,89.74,73,-22,0,6.0,1,2440317.35,651914492.35,33.24,Fail
672,Avila LLC,2010,Australia,EdTech,4,10,0,Maturity,4,8,5917510.07,620420.14,4031558.83,939488.0,92.35,48.48,40,-6,3,1.0,3,3998025.68,955078093.85,44.44,Unclear
673,Nunez-Stephens,2005,Canada,EdTech,3,8,0,MVP,8,1,3572789.3,611229.29,3319604.95,457537.0,87.17,40.52,98,61,0,3.0,4,2286209.4,770833876.75,49.99,Success
674,"Gray, Hall and Murray",2019,Canada,CleanTech,1,15,0,Idea,7,10,758720.87,1210433.43,1821944.19,48568.9,7.76,59.4,32,-98,9,1.5,2,0.0,324104861.21,28.86,Fail
675,Hill Ltd,2014,France,EdTech,1,8,1,Idea,5,5,60597.7,1611216.01,10526102.64,43777.0,85.49,16.76,13,-45,1,6.0,3,10052060.78,121417061.46,33.62,Fail
676,Johnson Ltd,2023,UK,FoodTech,3,3,0,Scale,2,8,9179619.81,1873536.32,6452780.83,81774.0,95.32,10.66,86,39,5,1.0,9,1078483.21,671583264.64,32.57,Fail
677,Mendez-Mayer,2021,Australia,HealthTech,2,1,1,Scale,5,3,1716125.48,135720.96,18164987.23,270326.0,55.23,34.65,81,-75,0,7.0,2,18127714.96,661799361.44,34.75,Unclear
678,Allen Inc,2009,France,CleanTech,4,13,0,Maturity,4,1,1585470.87,555956.95,3744269.36,884704.0,77.26,3.99,52,51,8,7.0,7,2592309.94,299368055.63,12.31,Unclear
679,Wheeler Group,2008,UK,CleanTech,4,2,1,Growth,0,6,8406429.45,510027.55,12057252.6,271336.0,66.09,37.76,75,-41,5,5.0,9,11254640.35,807606761.21,7.97,Fail
680,"Powers, Brennan and Sanchez",2014,India,IoT,3,17,1,MVP,4,8,8692829.23,714879.33,18012407.69,77159.0,28.81,67.15,41,-43,7,3.0,7,16116142.07,635783460.66,20.37,Success
681,Morales and Sons,2021,Australia,FinTech,2,20,0,MVP,6,5,929733.13,848668.53,943793.02,564544.0,58.75,81.21,35,90,9,1.0,2,0.0,420584255.28,23.29,Success
682,"Robinson, Shields and Brown",2014,UK,FoodTech,1,5,0,Growth,8,10,9087189.28,778342.94,10325549.42,733567.0,88.94,57.98,24,-93,9,2.0,8,9138086.49,471128335.32,38.17,Success
683,"Holder, Young and Hendricks",2021,Australia,SaaS,5,10,1,Scale,0,10,2732978.67,1904294.42,9013376.25,791529.0,49.64,69.13,51,100,7,2.0,8,5854587.98,255240964.45,31.14,Fail
684,"Flores, Harper and Chambers",2024,USA,Blockchain,5,20,0,Scale,2,3,6186216.85,874258.11,18575572.16,167952.0,59.01,83.31,100,-75,1,2.0,6,16281046.01,543230768.66,27.61,Fail
685,Young-Walter,2009,China,IoT,3,17,0,Idea,7,0,68593.49,1103185.14,13275295.46,64036.9,53.15,77.31,39,9,1,3.0,0,10628818.1,507037953.86,24.92,Fail
686,"Boyd, Gutierrez and Hill",2006,Singapore,FinTech,2,11,0,Maturity,5,3,3806611.01,1497266.56,6983228.2,853839.0,28.24,32.0,85,85,2,6.0,9,5725031.48,943850939.92,11.15,Unclear
687,"Fry, Hobbs and Buck",2010,Canada,HealthTech,2,4,0,Scale,4,2,4507246.09,1450169.59,14230424.37,410689.0,64.37,57.34,69,65,10,8.0,10,10074575.49,514222603.34,18.64,Fail
688,"Shelton, Peters and Williams",2006,China,HealthTech,4,8,0,Idea,9,6,599826.57,1165929.13,11653080.41,7870.900000000001,50.95,26.49,79,-52,7,9.0,2,9019000.61,779717865.93,5.47,Fail
689,David-Powers,2017,UK,CleanTech,1,19,0,Growth,1,10,5252719.71,1721664.05,6943397.96,160880.0,23.25,57.63,61,-58,10,3.0,7,6881188.3,618066392.37,3.29,Fail
690,"Flores, Butler and Hernandez",2015,Singapore,IoT,2,17,0,Idea,2,10,461492.96,1248362.62,15704973.56,67136.3,89.54,42.6,86,86,7,6.0,5,15016830.06,232971857.03,0.66,Fail
691,White-Medina,2015,China,CleanTech,5,18,0,Growth,1,9,9596402.12,1749517.69,13363395.2,726431.0,95.0,37.28,8,-80,4,9.0,8,8871651.16,59054338.71,4.38,Fail
692,Atkinson LLC,2020,USA,SaaS,1,2,0,Growth,0,4,1850227.77,605531.5,108325.97,905286.0,5.54,18.36,98,40,1,5.0,10,0.0,704911732.02,29.75,Fail
693,"Thomas, Ford and Brown",2015,Canada,HealthTech,1,8,1,Growth,6,2,1579942.31,264047.35,17302692.12,178076.0,62.23,56.18,92,-2,10,9.0,10,17098217.28,804325463.88,48.58,Fail
694,Faulkner-Grant,2023,Israel,CleanTech,3,3,0,Growth,2,1,7134190.61,1639040.91,7941837.64,289852.0,41.5,72.93,77,30,3,8.0,9,7098933.91,876148870.66,1.43,Success
695,Price LLC,2019,UK,FoodTech,2,16,0,Scale,6,1,745518.85,765035.82,12908952.01,37307.0,52.6,57.13,68,-12,3,7.0,10,12572140.57,686887796.05,39.16,Fail
696,Rivera Inc,2020,Canada,Blockchain,3,16,0,MVP,6,4,4828914.56,1302169.14,7935366.42,993762.0,37.38,6.92,20,59,6,1.0,8,6692685.13,439934688.3,33.27,Success
697,Boone-Davis,2015,China,SaaS,2,1,0,Growth,7,7,4840531.19,1474622.39,17627240.88,199923.0,47.44,92.43,52,-80,3,2.0,0,13652263.34,497632185.58,42.94,Fail
698,"Calderon, Williams and Bennett",2020,Israel,SaaS,4,8,0,Idea,0,7,310025.33,653420.95,13016708.92,70840.40000000001,32.34,0.55,69,-87,9,5.0,5,12326605.57,762747304.66,47.27,Fail
699,"Morrison, Russo and Lopez",2012,Germany,CleanTech,3,8,1,MVP,4,4,9304437.42,1010326.78,11587724.18,43524.0,11.76,88.51,0,35,5,4.0,10,9585153.77,186336925.1,40.65,Success
700,"Ramsey, Hansen and Mendoza",2008,Canada,SaaS,3,4,1,Idea,9,1,282543.44,1789853.03,19605295.0,85336.1,30.2,76.61,30,-94,10,1.0,10,19006236.65,458180166.5,39.89,Unclear
701,Turner-Stout,2012,Germany,SaaS,5,14,0,Idea,8,3,288441.95,1759586.47,5612810.4,85023.6,67.03,9.66,44,-2,1,1.0,2,2807679.93,63403007.72,4.31,Fail
702,Giles Ltd,2008,Singapore,IoT,3,14,1,Idea,10,6,234299.96,1498714.16,1305085.81,28981.2,5.04,23.66,27,86,1,2.0,4,0.0,114220585.74,17.95,Unclear
703,Burgess Group,2007,India,IoT,2,2,0,Growth,6,5,1457880.35,1525479.06,10320208.66,535225.0,38.27,34.9,2,29,10,4.0,0,9585594.25,238486357.81,30.83,Unclear
704,Dominguez Ltd,2007,Australia,SaaS,5,18,0,MVP,0,9,3640110.55,1795368.9,8480356.68,17104.0,4.23,91.03,86,-32,4,0.0,10,4183435.27,633744562.2,0.85,Fail
705,Sanders and Sons,2022,Singapore,FoodTech,3,2,1,Growth,7,6,6808872.6,1472664.77,9085800.98,528614.0,35.63,97.99,39,71,0,9.0,10,5482751.92,920896483.04,23.73,Fail
706,"Morris, Campbell and Owens",2023,Israel,EdTech,3,5,1,Scale,2,4,7421628.63,679170.72,12402096.77,593421.0,8.76,8.72,3,-35,1,10.0,6,11778065.67,371279120.72,0.42,Unclear
707,"Howard, Green and Hunt",2023,Israel,FoodTech,4,3,1,Growth,3,1,8134189.16,241565.36,12302432.73,562015.0,33.96,39.69,69,-83,2,2.0,5,11828651.08,505344372.9,37.08,Fail
708,Owens-Lang,2009,Canada,CleanTech,3,12,1,Maturity,3,7,1975438.89,843768.2,7845285.87,302670.0,83.81,14.93,75,43,8,8.0,9,6847768.95,574812762.74,13.28,Success
709,"Harrison, Franco and Rocha",2022,Australia,EdTech,1,12,1,Idea,9,1,35632.69,174686.83,17257540.48,74491.6,61.34,27.84,11,-89,8,9.0,4,17234232.27,291730190.22,37.75,Success
710,Edwards-Williams,2014,India,IoT,5,10,0,Scale,7,7,9746858.58,231541.55,13029170.19,28341.0,68.23,98.11,61,7,6,2.0,1,12732025.37,692882001.84,24.0,Success
711,Figueroa Inc,2010,China,CleanTech,1,4,0,MVP,0,6,143325.19,1900344.19,17798233.58,846925.0,50.38,98.44,70,-41,4,5.0,7,14515232.84,220274337.29,5.4,Success
712,Tran-Silva,2005,France,E-Commerce,5,0,0,Growth,7,2,9606788.38,1351773.92,18263078.1,724776.0,92.24,47.21,91,-47,1,5.0,4,17050387.88,197423382.99,45.96,Fail
713,"Butler, Hernandez and Rivera",2009,UK,SaaS,4,8,1,Scale,8,3,8288144.19,1703217.4,3346241.52,589583.0,54.12,18.31,89,-61,1,0.5,1,0.0,213756882.35,34.9,Success
714,Hudson-Sanchez,2013,India,Blockchain,3,16,0,Growth,8,6,9120747.61,1285798.39,13611237.48,733746.0,10.43,54.7,47,70,7,6.0,3,11458644.27,484489405.77,36.22,Fail
715,"Pena, Cohen and Scott",2016,Israel,Blockchain,3,0,1,Growth,4,3,3871857.13,837080.06,6350237.28,152320.0,93.31,32.07,6,49,2,8.0,9,5417387.55,257708574.58,11.54,Fail
716,Levy-May,2018,France,IoT,3,2,0,Growth,3,8,1972019.99,50317.56,16728581.09,211751.0,13.31,92.88,56,-97,6,8.0,7,16617627.83,438854818.87,6.28,Success
717,Murray-Oconnor,2006,Israel,AI,5,14,1,Idea,3,6,606463.69,1911674.07,14657031.59,15412.900000000001,99.92,81.82,55,-80,5,7.0,7,12701846.42,383113266.06,47.72,Success
718,Jackson-Cortez,2021,Australia,AI,3,20,1,Idea,8,0,741251.17,141864.94,3974953.75,72937.7,43.54,30.88,66,50,5,4.0,2,3964438.94,832686229.96,17.31,Fail
719,White-Preston,2018,Australia,E-Commerce,1,9,0,Idea,7,0,130861.07,1220326.13,18774615.33,37397.700000000004,7.35,1.83,12,69,2,7.0,9,18744372.92,226869269.99,11.72,Success
720,"Bernard, Warren and Combs",2017,Canada,FoodTech,3,7,0,Maturity,9,3,7976215.15,204406.42,13669580.14,819132.0,86.41,99.8,51,-10,5,8.0,7,13484406.55,313035639.01,43.92,Success
721,Landry Ltd,2013,China,AI,4,11,0,MVP,9,8,2085933.2,568295.36,18972662.06,792675.0,9.29,68.33,62,-60,3,0.0,9,18706727.03,952858529.0,23.17,Fail
722,Duran Group,2019,USA,CleanTech,1,14,0,Growth,6,3,4916772.93,371634.91,4038223.44,39060.0,17.44,42.57,40,43,0,0.0,8,3645260.5,252187454.33,32.71,Success
723,Kirby and Sons,2019,Israel,HealthTech,3,8,1,Growth,2,4,8564824.5,1107433.83,17394101.89,81280.0,41.73,28.85,74,-5,7,10.0,1,14837057.14,798926767.75,13.31,Fail
724,Mann Inc,2015,China,E-Commerce,3,9,0,Growth,3,0,1934245.11,1774150.69,13361456.41,392346.0,67.62,0.44,22,-65,8,4.0,5,11716549.64,150160255.69,48.46,Success
725,Wagner LLC,2020,Germany,AI,2,19,1,Maturity,8,1,2418846.48,1271244.62,11045731.88,241586.0,12.11,15.4,46,21,2,6.0,10,8911385.81,590853994.99,23.7,Success
726,Williamson Ltd,2021,Israel,E-Commerce,5,8,0,Maturity,7,10,627711.56,1328376.04,16410258.0,24970.0,62.26,0.59,64,-84,10,8.0,2,12745352.24,101065476.41,21.22,Fail
727,"Durham, Hopkins and Smith",2008,France,EdTech,1,14,0,Maturity,0,3,1466141.12,1817862.99,12657277.74,524663.0,78.04,59.76,97,81,0,8.0,4,8849075.49,415893356.31,3.23,Success
728,"Arnold, Smith and Moreno",2005,China,EdTech,2,20,0,Growth,2,3,1465258.2,1498850.46,13392003.21,497765.0,12.35,66.33,30,-10,0,2.0,3,10866028.85,956076000.26,35.4,Success
729,Nichols-Mitchell,2012,India,SaaS,4,20,0,MVP,9,10,2034275.02,1731911.67,5073411.69,890482.0,64.76,76.68,96,34,0,0.0,7,568419.85,646206914.02,27.05,Fail
730,"Li, Craig and Drake",2021,China,AI,5,0,0,Growth,1,9,2862003.97,832784.18,16341073.77,414477.0,95.89,18.7,99,17,8,2.0,6,15515008.65,215581879.48,48.31,Fail
731,Rodriguez Inc,2007,India,E-Commerce,1,1,1,MVP,1,5,8149833.64,1730712.68,13006054.05,673883.0,96.74,9.6,35,68,9,7.0,6,11978816.81,810759818.52,6.38,Fail
732,"Hernandez, Lee and Fox",2024,Australia,CleanTech,3,18,0,Maturity,7,5,9157638.64,1291722.78,16887783.57,739254.0,16.17,65.05,13,1,4,6.0,10,13992376.0,657944481.37,19.55,Success
733,Adams-Sanders,2019,India,CleanTech,1,13,1,Scale,5,7,4062806.09,271215.57,7030539.31,698778.0,75.97,49.99,36,-39,2,4.0,0,6982701.88,928439339.24,12.7,Fail
734,Chung-Stevens,2019,Singapore,CleanTech,3,7,0,Idea,5,8,128208.95,77425.02,6634202.45,20110.9,84.66,87.57,31,17,9,10.0,5,6535675.46,236470599.55,33.38,Success
735,Branch and Sons,2018,USA,FoodTech,5,5,1,Idea,3,0,223809.93,488068.83,478059.29,21915.600000000002,88.9,53.33,52,-17,8,9.0,1,57720.02,130057900.15,3.58,Unclear
736,Sutton-Abbott,2018,Singapore,FoodTech,3,11,0,MVP,0,0,7362059.77,756699.3,15372106.54,436855.0,32.37,44.48,27,-44,9,8.0,7,13167103.69,638562207.1,49.63,Success
737,"Frey, Santos and Johnson",2006,France,HealthTech,4,14,0,Maturity,10,5,6774255.19,1675135.73,6606287.74,521623.0,27.01,48.8,64,-2,8,3.0,5,4711228.65,914454585.6,35.72,Success
738,Gray-Tran,2017,UK,FinTech,3,13,0,Idea,6,3,967207.3,1482489.11,6544246.19,67790.6,4.79,78.23,46,-68,5,5.0,8,3593666.82,779984695.39,19.06,Success
739,Walsh Ltd,2018,France,AI,4,20,1,Idea,7,10,14488.68,1910751.46,13773690.31,17768.7,39.95,1.83,70,-75,4,4.0,9,12234668.3,417011206.68,18.42,Fail
740,Miller Group,2023,Canada,Blockchain,5,0,1,Maturity,1,3,7507587.6,1118349.6,5057379.54,519705.0,12.4,91.82,79,-13,0,5.0,0,1758787.62,437388692.71,24.02,Unclear
741,"Mueller, Knight and Hodge",2011,Israel,SaaS,5,10,0,MVP,1,0,5057936.0,1495483.3,18180409.73,616600.0,78.63,71.42,31,-77,5,3.0,7,17371091.39,339269088.76,34.89,Fail
742,Jacobson Inc,2007,Singapore,HealthTech,1,2,0,MVP,0,8,9026929.78,550566.77,10761319.83,423787.0,14.3,88.53,23,-70,4,2.0,1,9263718.55,918156250.37,29.57,Fail
743,Lewis Ltd,2019,France,HealthTech,4,18,0,Scale,3,10,5761666.74,1359155.79,19389544.72,90524.0,81.89,95.96,13,-74,8,4.0,6,17573556.47,813530849.01,24.2,Unclear
744,"Alvarez, Williams and Jones",2018,Israel,E-Commerce,4,17,1,Idea,5,2,446667.72,1412302.41,1533376.89,13741.7,10.76,22.6,46,-52,6,2.0,10,0.0,274724425.69,9.77,Success
745,Lam-Elliott,2015,Israel,SaaS,2,19,0,Idea,4,4,665850.61,1696830.66,6736507.35,44849.8,48.06,57.83,78,-28,2,10.0,2,3166559.43,327487253.53,8.69,Success
746,White LLC,2019,Israel,FoodTech,2,1,1,Maturity,3,9,8335234.42,1072807.02,7629406.87,342154.0,38.46,48.6,0,93,4,1.0,6,7329071.83,742384013.62,45.79,Fail
747,Ali PLC,2017,USA,EdTech,2,6,0,Maturity,3,0,2824985.5,1298010.3,14608414.4,849687.0,60.15,53.76,91,97,5,9.0,0,12479577.82,429913505.67,27.58,Fail
748,Goodwin Ltd,2022,UK,EdTech,3,7,1,Growth,9,7,1075270.44,406097.62,4259245.16,964631.0,51.88,4.73,18,58,10,3.0,9,3991256.48,613621837.07,29.0,Success
749,Hickman-Evans,2010,India,E-Commerce,2,18,1,Growth,6,2,4330181.18,1473518.18,7506917.07,38923.0,59.86,91.4,57,52,1,2.0,8,6812352.07,163910461.43,21.64,Success
750,"Allen, Davenport and Price",2007,France,E-Commerce,4,14,1,Scale,6,0,2145198.73,1676823.45,18212850.88,874630.0,0.1,95.47,6,-85,6,6.0,5,13798741.34,828330588.29,35.41,Unclear
751,"Rivera, Campos and Taylor",2023,Canada,FinTech,3,9,0,MVP,1,9,4295411.75,1187475.49,2291017.67,539559.0,12.75,68.51,81,8,8,2.0,6,0.0,560800267.57,40.08,Unclear
752,"Ramsey, Mason and Mccann",2019,France,FoodTech,5,0,1,Maturity,6,5,9910481.73,231348.92,14906480.01,391248.0,51.71,25.83,76,33,9,5.0,8,14232423.97,827478811.9,20.56,Unclear
753,Davis and Sons,2009,India,IoT,1,5,0,MVP,1,0,5741220.94,625714.71,14049702.23,935266.0,22.97,78.72,63,-14,8,10.0,9,12508264.07,717705855.34,2.63,Success
754,Peterson PLC,2014,Australia,FoodTech,2,12,1,Idea,3,2,693600.22,951029.3,2610101.53,37792.5,7.63,73.08,17,10,4,6.0,0,0.0,434711468.82,12.62,Fail
755,"Sanders, Ayala and Johnson",2011,China,EdTech,5,13,0,MVP,0,4,6779284.22,1354324.78,13769813.75,767179.0,21.77,57.46,62,20,7,1.0,7,10014761.89,683758569.65,41.08,Fail
756,Bowers-Hayes,2021,Israel,FinTech,4,2,1,MVP,4,3,8207008.36,640654.22,11395675.79,62030.0,77.99,17.02,67,96,8,9.0,10,11056715.65,69253198.95,28.01,Fail
757,Kelly Group,2011,Singapore,SaaS,1,10,1,Scale,0,6,9441285.99,1680582.1,5750446.74,547807.0,54.17,20.12,49,44,5,3.0,6,5318376.81,441798215.83,44.06,Fail
758,Lopez-Willis,2016,Singapore,Blockchain,5,2,0,Maturity,3,5,6588180.98,743579.58,6222823.9,228630.0,19.01,58.94,67,-92,3,5.0,1,5939998.36,441475972.36,19.09,Fail
759,Miller-Montgomery,2021,China,HealthTech,1,18,0,Growth,8,2,4760946.45,85672.7,16659845.51,393926.0,1.6,12.88,90,-11,3,2.0,0,16618053.24,426437630.82,15.75,Success
760,Marquez Inc,2017,Canada,Blockchain,2,9,1,Maturity,7,10,3178309.46,1587988.83,4620299.73,28026.0,35.76,72.39,15,89,2,2.5,9,702189.84,126404739.14,0.07,Success
761,Moore-Dawson,2024,Singapore,FoodTech,4,14,1,Growth,5,7,3602743.0,1288446.34,10255610.59,613669.0,35.75,21.26,13,-88,8,9.0,0,6617264.15,492102520.88,9.01,Success
762,"Moore, Price and Ward",2008,China,FinTech,1,10,0,Growth,7,7,3344806.08,1603912.99,13622994.75,904606.0,73.51,91.05,61,34,9,0.0,10,11930038.22,764087645.2,16.76,Fail
763,Smith LLC,2014,China,FoodTech,5,14,1,Scale,4,1,3244654.91,697779.63,2598033.89,529180.0,91.94,89.97,77,-83,10,7.0,3,2526099.1,329806503.95,3.97,Unclear
764,Ward-Nelson,2007,Israel,E-Commerce,2,12,1,Idea,6,6,694625.0,35260.38,18647077.42,38033.1,37.2,29.36,6,0,10,9.0,4,18614551.81,820400589.72,30.23,Fail
765,Miller Group,2013,India,AI,2,4,0,Scale,7,0,5877090.3,147505.85,5212686.3,560283.0,68.81,8.34,55,-56,5,4.0,6,4900207.61,589615160.11,49.49,Fail
